ID,Lugar,Etapa,Mes,Fecha,Dia,Hora,Usuario,ID_barrio,Barrio1,comuna,Estrato,Hora1,hora_r
2195,SIN INFORMACION,INDAGACIÓN,enero,2020-01-25,sábado,10:00:00,PONAL_WS,901.0,Alameda,9,3,1900-01-01 10:00:00,10
2196,SIN INFORMACION,INDAGACIÓN,enero,2020-01-27,lunes,17:00:00,PONAL_WS,306.0,San Juan Bosco,3,3,1900-01-01 17:00:00,17
2197,SIN INFORMACION,INDAGACIÓN,enero,2020-01-27,lunes,14:30:00,PONAL_WS,1495.0,Puerta del Sol,14,1,1900-01-01 14:30:00,14
2198,SIN INFORMACION,INDAGACIÓN,enero,2020-01-17,viernes,20:30:00,PONAL_WS,1007.0,Jorge Zawadsky,10,3,1900-01-01 20:30:00,20
2199,SIN INFORMACION,INDAGACIÓN,enero,2020-01-27,lunes,16:30:00,PONAL_WS,209.0,San Vicente,2,4,1900-01-01 16:30:00,16
2200,SIN INFORMACION,INDAGACIÓN,enero,2020-01-27,lunes,17:45:00,PONAL_WS,1903.0,El Lido,19,5,1900-01-01 17:45:00,18
2201,SIN INFORMACION,INDAGACIÓN,enero,2020-01-27,lunes,06:30:00,PONAL_WS,2108.0,Ciudad Talanga,21,1,1900-01-01 06:30:00,6
2202,SIN INFORMACION,INDAGACIÓN,enero,2020-01-24,viernes,09:50:00,PONAL_WS,209.0,San Vicente,2,4,1900-01-01 09:50:00,10
2203,SIN INFORMACION,INDAGACIÓN,enero,2020-01-27,lunes,02:45:00,PONAL_WS,1308.0,El Diamante,13,2,1900-01-01 02:45:00,3
2204,CENTRO COMERCIAL,INDAGACIÓN,enero,2020-01-27,lunes,19:30:00,PONAL_WS,1014.0,Colseguros Andes,10,4,1900-01-01 19:30:00,20
2205,SIN INFORMACION,INDAGACIÓN,enero,2020-01-26,domingo,21:30:00,PONAL_WS,1812.0,Colinas del Sur,18,3,1900-01-01 21:30:00,22
2206,SIN INFORMACION,INDAGACIÓN,enero,2020-01-27,lunes,15:00:00,PONAL_WS,813.0,Santa Fé,8,3,1900-01-01 15:00:00,15
2207,SIN INFORMACION,QUERELLABLE,enero,2020-01-24,viernes,00:00:00,PONAL_WS,295.0,Urbanización La Flora,2,5,1900-01-01 00:00:00,0
